Date,ConfirmedIndianNational
30-01-2020,1
31-01-2020,1
01-02-2020,1
02-02-2020,2
03-02-2020,3
04-02-2020,3
05-02-2020,3
06-02-2020,3
07-02-2020,3
08-02-2020,3
09-02-2020,3
10-02-2020,3
11-02-2020,3
12-02-2020,3
13-02-2020,3
14-02-2020,3
15-02-2020,3
16-02-2020,3
17-02-2020,3
18-02-2020,3
19-02-2020,3
20-02-2020,3
21-02-2020,3
22-02-2020,3
23-02-2020,3
24-02-2020,3
25-02-2020,3
26-02-2020,3
27-02-2020,3
28-02-2020,3
29-02-2020,3
01-03-2020,3
02-03-2020,5
03-03-2020,6
04-03-2020,28
05-03-2020,30
06-03-2020,31
07-03-2020,34
08-03-2020,39
09-03-2020,48
10-03-2020,63
11-03-2020,70
12-03-2020,82
13-03-2020,91
14-03-2020,107
15-03-2020,112
16-03-2020,127
17-03-2020,146
18-03-2020,171
19-03-2020,198
20-03-2020,258
21-03-2020,334
22-03-2020,403
23-03-2020,497
24-03-2020,571
25-03-2020,657
26-03-2020,730
27-03-2020,883
28-03-2020,1024
29-03-2020,1139
30-03-2020,1329
31-03-2020,1635
01-04-2020,2059
02-04-2020,2545
03-04-2020,3105
04-04-2020,3684
05-04-2020,4289
06-04-2020,4778
07-04-2020,5351
08-04-2020,5916
09-04-2020,6729
10-04-2020,7598
11-04-2020,8452
12-04-2020,9210
13-04-2020,10453
14-04-2020,11484
15-04-2020,12370
16-04-2020,13431
17-04-2020,14353
18-04-2020,15723
19-04-2020,17296
